2 1.38283e-05
3 0.000826836
4 0.00104809
5 0.000535965
6 0.000718117
7 0.00917196
8 0.0099349
9 0.00160789
10 0.00166702
11 0.00219107
12 0.00238514
13 0.00281191
14 0.00278997
15 0.00458503
16 0.00345111
17 0.00408792
18 0.0217021
19 0.00432706
20 0.00530505
21 0.00556397
22 0.0230191
23 0.00511599
24 0.022754
25 0.00750494
26 0.0294471
27 0.0235741
28 0.00818586
29 0.0233531
30 0.0117111
31 0.0104361
32 0.011713
33 0.021358
34 0.0117002
35 0.0583849
36 0.030659
37 0.0549231
38 0.129013
39 0.0341699
40 0.0128241
41 0.025667
42 0.03948
43 0.0951731
44 0.070085
45 0.122123
46 0.019763
47 0.102646
48 0.0696661
49 0.0799532
50 0.0717831
51 0.0879989
52 0.108182
53 0.19582
54 0.037163
55 0.101778
56 0.0446038
